Genre,Reports,Age,Gpa,Year,NewText,Nationality_Egypt,Nationality_France,Nationality_Indonesia,Nationality_Mexico,Nationality_Soudan,Nationality_South Africa,Nationality_Yemen,Gender_F,Gender_M
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,27,2.18,2,"['limited', 'access', 'research', 'database', 'material', 'causing', 'lot', 'frustration', 'among', 'student', 'need', 'better', 'access', 'able', 'succeed', 'academically']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I'm having trouble finding the course materials I need for my classes. The library doesn't have them and the bookstore is always sold out.,23,3.11,2,"['trouble', 'finding', 'course', 'material', 'need', 'class', 'library', 'bookstore', 'always', 'sold']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,It's frustrating to have limited access to research databases and materials when I'm trying to write a paper or do a project. I feel like I'm at a disadvantage compared to students at other schools.,20,3.68,2,"['frustrating', 'limited', 'access', 'research', 'database', 'material', 'trying', 'write', 'paper', 'project', 'feel', 'like', 'disadvantage', 'compared', 'student', 'school']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I'm really struggling in one of my classes but I can't get an appointment with my academic advisor for weeks. It's making me feel like no one cares about my success.,20,1.3,2,"['really', 'struggling', 'one', 'class', 'get', 'appointment', 'academic', 'advisor', 'week', 'making', 'feel', 'like', 'one', 'care', 'success']",1,0,0,0,0,0,0,0,1
Academic Support and Resources, I am really struggling with understanding the instructions for this assignment. They are not clear and I don't know what is expected of me.,26,2.5,2,"['really', 'struggling', 'understanding', 'instruction', 'assignment', 'clear', 'know', 'expected']",1,0,0,0,0,0,0,0,1
Academic Support and Resources, The grading system in this course is unfair and inconsistent. It seems like the professor is picking favorites and not giving everyone a fair shot.,22,2.79,2,"['grading', 'system', 'course', 'unfair', 'inconsistent', 'seems', 'like', 'professor', 'picking', 'favorite', 'giving', 'everyone', 'fair', 'shot']",1,0,0,0,0,0,0,0,1
Academic Support and Resources, I wish my professor would give us more feedback on our assignments. I don't know what I'm doing wrong and I can't improve without constructive criticism.,24,3.5,2,"['wish', 'professor', 'would', 'give', 'feedback', 'assignment', 'know', 'wrong', 'improve', 'without', 'constructive', 'criticism']",1,0,0,0,0,0,0,0,1
Academic Support and Resources, The quality of teaching in this course is very poor. The professor doesn't seem to care about the material or the students and it shows in the lectures.,20,1.11,2,"['quality', 'teaching', 'course', 'poor', 'professor', 'seem', 'care', 'material', 'student', 'show', 'lecture']",1,0,0,0,0,0,0,0,1
Academic Support and Resources, The course fees and textbook costs are way too high. I can barely afford to pay for everything and it's causing me a lot of stress.,24,3.26,2,"['course', 'fee', 'textbook', 'cost', 'way', 'high', 'barely', 'afford', 'pay', 'everything', 'causing', 'lot', 'stress']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I am very concerned about academic dishonesty and plagiarism in this course. The professor doesn't seem to take it seriously and it's making me question the integrity of the entire class.,25,0.86,2,"['concerned', 'academic', 'dishonesty', 'plagiarism', 'course', 'professor', 'seem', 'take', 'seriously', 'making', 'question', 'integrity', 'entire', 'class']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,There have been several honor code violations in this course and it's really disappointing. I thought this was a place of higher learning and respect for academic integrity.,16,3.3,2,"['several', 'honor', 'code', 'violation', 'course', 'really', 'disappointing', 'thought', 'place', 'higher', 'learning', 'respect', 'academic', 'integrity']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,The grading rubric for this course is confusing and doesn't make sense. I don't understand how my grade is being calculated and it's causing me a lot of anxiety.,26,3.34,2,"['grading', 'rubric', 'course', 'confusing', 'make', 'sense', 'understand', 'grade', 'calculated', 'causing', 'lot', 'anxiety']",1,0,0,0,0,0,0,0,1
Academic Support and Resources,I feel like my professor doesn't care about my success in this course. They don't give us enough support or resources to do well.,21,1.0,2,"['feel', 'like', 'professor', 'care', 'success', 'course', 'give', 'enough', 'support', 'resource', 'well']",1,0,0,0,0,0,0,0,1
Academic Support and Resources, The textbooks for this course are outdated and don't provide enough information. I feel like I'm not getting the education I paid for.,27,3.15,2,"['textbook', 'course', 'outdated', 'provide', 'enough', 'information', 'feel', 'like', 'getting', 'education', 'paid']",1,0,0,0,0,0,0,0,1
Academic Support and Resources, I am really frustrated with the lack of transparency in this course. The professor doesn't communicate with us clearly and it's causing a lot of confusion.,19,2.17,2,"['really', 'frustrated', 'lack', 'transparency', 'course', 'professor', 'communicate', 'clearly', 'causing', 'lot', 'confusion']",1,0,0,0,0,0,0,0,1
Academic Support and Resources, The teaching assistants for this course are not helpful at all. They don't know the material and can't answer any of my questions.,22,1.08,2,"['teaching', 'assistant', 'course', 'helpful', 'know', 'material', 'answer', 'question']",1,0,0,0,0,0,0,0,1
Academic Support and Resources, The grading scale for this course is too harsh. It's almost impossible to get an A and it's discouraging me from trying my best.,18,3.55,2,"['grading', 'scale', 'course', 'harsh', 'almost', 'impossible', 'get', 'discouraging', 'trying', 'best']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, I am disappointed with the quality of education I am receiving in this course. I expected more from a university.,24,0.37,2,"['disappointed', 'quality', 'education', 'receiving', 'course', 'expected', 'university']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, The professor for this course is disorganized and doesn't seem to have a plan. I am not learning anything and it's frustrating.,16,3.97,2,"['professor', 'course', 'disorganized', 'seem', 'plan', 'learning', 'anything', 'frustrating']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, The cost of attending this university is outrageous. I don't know how I'm going to afford it.,20,3.37,2,"['cost', 'attending', 'university', 'outrageous', 'know', 'going', 'afford']",1,0,0,0,0,0,0,1,0
Academic Support and Resources, The textbook for this course is not helpful at all. It's poorly written and doesn't explain anything clearly.,25,1.15,2,"['textbook', 'course', 'helpful', 'poorly', 'written', 'explain', 'anything', 'clearly']",1,0,0,0,0,0,0,1,0
